job_role,required_skills,description,avg_salary_usd,avg_salary_inr,demand_level,career_path,months_to_learn,department
Full Stack Developer,"JavaScript,React,Node.js,Express,MongoDB,HTML,CSS,Git,REST API,SQL,TypeScript",Builds complete web applications end-to-end,$95k-$130k,Rs.12L-28L,High,Junior Dev > Mid Dev > Senior Dev > Tech Lead,12,Engineering
Frontend Developer,"JavaScript,React,HTML,CSS,Bootstrap,Redux,TypeScript,Webpack,Git,Figma",Creates user-facing interfaces and experiences,$80k-$115k,Rs.8L-20L,High,UI Dev > Frontend Dev > Senior Frontend > UX Engineer,8,Engineering
Backend Developer,"Python,Node.js,Django,Express,PostgreSQL,Redis,Docker,REST API,GraphQL,Microservices",Designs and implements server-side logic,$85k-$120k,Rs.10L-24L,High,Junior Backend > Senior Backend > Software Architect,10,Engineering
DevOps Engineer,"Docker,Kubernetes,CI/CD,Jenkins,AWS,Linux,Bash,Terraform,Ansible,Git,Monitoring",Manages infrastructure and deployment pipelines,$100k-$145k,Rs.14L-32L,High,SysAdmin > DevOps > SRE > Platform Engineer,14,Cloud & Infrastructure
Cloud Architect,"AWS,Azure,GCP,Terraform,Kubernetes,Docker,Networking,Security,Cost Optimization,IAM",Designs scalable cloud infrastructure,$130k-$180k,Rs.20L-45L,High,Cloud Engineer > Solutions Architect > Cloud Architect,24,Cloud & Infrastructure
Data Scientist,"Python,Machine Learning,Pandas,NumPy,Scikit-learn,TensorFlow,SQL,Statistics,R,Data Visualization",Extracts insights from data using ML and statistics,$95k-$140k,Rs.12L-32L,Very High,Data Analyst > Data Scientist > Senior DS > ML Lead,14,AI & Data
Machine Learning Engineer,"Python,TensorFlow,PyTorch,Scikit-learn,MLOps,Docker,Kubernetes,Feature Engineering,Deep Learning",Builds and deploys machine learning models,$110k-$160k,Rs.16L-40L,Very High,Data Scientist > ML Engineer > Senior MLE > AI Lead,16,AI & Data
AI Research Scientist,"Python,Deep Learning,PyTorch,Research Papers,Mathematics,Statistics,NLP,Computer Vision,Reinforcement Learning",Conducts cutting-edge AI research,$120k-$200k,Rs.20L-60L,High,PhD > Research Intern > Research Scientist > Principal Researcher,36,AI Research
Data Engineer,"Python,Apache Spark,Hadoop,Airflow,Kafka,SQL,ETL,Data Warehousing,AWS,BigQuery",Builds data pipelines and infrastructure,$95k-$135k,Rs.12L-30L,Very High,Data Analyst > Data Engineer > Senior DE > Data Architect,12,AI & Data
Business Intelligence Analyst,"SQL,Power BI,Tableau,Excel,Data Modeling,ETL,Python,Statistics,Reporting,DAX",Transforms data into business insights,$70k-$105k,Rs.6L-18L,High,Data Analyst > BI Analyst > BI Lead > Analytics Manager,8,Analytics
